id,date,time,username,name,tweet,,replies_count,retweets_count,likes_count,Pro Vaccine,Pro Vaccine True false
1508244576620138497,2022-03-27,19:48:23,therealrukshan,real Rukshan,"Fully vaccinated and masked Premier tests positive after attending event using vaccine passport system. That's it, that's the tweet.  https://t.co/haxuVrKZYK",,1840,9001,37655,1,Yes
1508234341733879810,2022-03-27,19:07:43,jennybethm,Jenny Beth Martin,BREAKING: Moderna is approaching the FDA for emergency use authorization of COVID-19 vaccines in children as young as 6 months old.  Who here opposes this request? ✋,,1022,1879,10937,-1,NO
1508227517072691201,2022-03-27,18:40:36,davewithington1,Dave Withington,@kathygriffin Four vaccines and you still need to test for the thing you’re vaxxed against?,,78,209,6457,-1,NO
1508215153648492544,2022-03-27,17:51:28,blueslots,Blue Room Slots 🇨🇦 (Injured by the Vax),What this vaccine has done to me Ruined my heart (possibly permanently)  Ruined my relationships Left me isolated. Left me jobless. Left me hopeless. Barely holding on to my apartment. Everyday I would go for long walks. Not anymore. Haven't had a haircut in 7+ months. etc..,,475,1898,5552,-1,NO
1508174111595409410,2022-03-27,15:08:23,xijennyyang,"Jenny Yang, MD.","It's amazing how everything gives you heart attacks or strokes or blood clots these days, except for covid19 vaccines which fact checkers have shown are safe and effective.",,154,2342,8396,1,Yes
1508102554328129536,2022-03-27,10:24:02,oltuncel,Rene Tuncel,"In the Pfizer trials, more people died in the vaccine group than in the placebo group, and it takes 22,000 vaccines to save one life from COVID.  Steve Kirsch: ""So you killed 150,000 in order to maybe save 10,000 lives.""  @VigilantFox | Rumble Clip | Full Video  https://t.co/I8kanXz3fb",,113,4117,5701,-1,NO
1508090827435876361,2022-03-27,9:37:26,sailorrooscout,Chise 🧬🧫🦠💉,Them: Is there any other vaccine in history that required three doses in a year and yet still didn’t fully prevent transmission of the virus it was meant to protect against?  Me: Your childhood vaccinations would like a word with you.  https://t.co/coBeV8hWW2,,106,1642,5358,-1,NO
1508066333245726721,2022-03-27,8:00:07,s11e11b11a,YouDontNeedToKnowMyName,UCT is withdrawing it's Mandatory Vaccine Policy 🤣🤭,,175,1108,5506,-1,NO
1508037626418237445,2022-03-27,6:06:02,sherloc98788726,Sherlock Holmes,"In case you missed this from me earlier on, Pfizer just recalled two drugs.  One on the market for 3 years.  One on the market for 20 years.  Both went through studies, trials &amp; were fully approved.  Both now linked to Cancers.  But hey, I'm sure the WARP SPEED vaccines are safe?",,93,2702,5567,-1,NO
1507893188769497096,2022-03-26,20:32:06,lancegooden,Lance Gooden,"Pro-athletes are exempted from NYC's vaccine mandate, but regular New Yorkers are not.  Remember this when Democrats claim to care about working Americans.",,214,2119,8634,0,NO
1507870240478273542,2022-03-26,19:00:54,martymakary,"Marty Makary MD, MPH",CDC has a civic duty to do rigorously study the long-term effects of vaccine-induced myocarditis. New follow-up study 3-8 months after myocarditis shows the MRI heart abnormality of late gadolinium enhancement seen in 63% of children. Merits further study.  https://t.co/klPVsnqrkc,,327,5264,10969,-1,NO
1507831803469447168,2022-03-26,16:28:10,charmchris3,chris,"Need your prayers, my sister is so sick from this booster, she has a flu thats gone into her lungs, last words before she went unconscious was, ""chrissy you were right, i should never have taken this vaccine""...I cant believe this is happening. DONT TAKE ANYMORE VACCINES!",,487,1736,5376,-1,NO
1507825180785082369,2022-03-26,16:01:51,katystoll,Katy Stoll,Again. I am grateful for the vaccine and would do it again. I do not worry about my fertility in anyway. But we can't just ignore the reality of this simply because we don't want to legitimize peoples fears.,,786,364,12470,1,Yes
1507824791222296581,2022-03-26,16:00:18,katystoll,Katy Stoll,"The only thing I've seen about it said ""yes, it seems the vaccine affects menstruation but it's minor"" but I'm telling you- what I'm experiencing and what other people have shared with me is that this is not minor. Excruciating symptoms, and delayed periods of up to two weeks.",,263,680,14141,-1,NO
1507766870312583169,2022-03-26,12:10:09,danielkotzin,Daniel Kotzin,"Mandating a vaccine without first conducting rigorous, long-term safety studies is evil.  Mandating a vaccine that does not severely curtail transmission is tyranny.  Mandating a vaccine without exempting those who have naturally-acquired immunity is demonic.",,164,2037,6760,-1,NO
1507709502879113222,2022-03-26,8:22:12,bipolarme81,🤎Thought💭Criminal🤎,"Robert F. Kennedy Jr:  ""Your chance of dying of a heart attack from that vaccine, according to their own studies, is 500% greater than if you're unvaccinated. So they knew they were going to kill a lot of people, and they did it anyway.""",,407,10378,22154,-1,NO
1507459797263654925,2022-03-25,15:49:57,davidhogg111,David Hogg 🌻,Has anyone else made it through the pandemic so far without having covid?   Though vaccines are not 100% effective I think it's probably the only reason I haven't gotten covid yet.  I can't believe I have made it this far.,,6704,1333,42428,1,Yes
1507450850691764231,2022-03-25,15:14:24,steve_vladeck,Steve Vladeck,"#BREAKING: Over dissents from Justices Thomas, Alito, and Gorsuch, #SCOTUS grants Biden Administration request for partial stay of district court injunction that had blocked the Navy's vaccine mandate as applied to 26 Navy SEALs.",,145,1243,7462,0,NO
1507399208965447737,2022-03-25,11:49:12,prisonplanet,Paul Joseph Watson,"Apparently “science” can assure the safety of 3 or 4 vaccines within a year, but doesn’t know what a woman is.",,209,3693,19553,-1,NO
1507364603302449159,2022-03-25,9:31:41,steven41849941,Steven,"My wife &amp; I both have the covid, she is vaccinated I’m not. I would say she’s more unwell with it then I am. So what are the vaccines for?",,1672,1963,10164,-1,NO
1507364257297543195,2022-03-25,9:30:19,mylove_des,vaccine vixen,"that’s the LITERAL role of a godparent. The reasoning for a Godparent is that if anything happens to the biological, your children have someone to fall back on. do not accept the role of a godparent if you cannot or will not do such",,125,19406,86117,0,NO
1507360894791081997,2022-03-25,9:16:57,mylove_des,vaccine vixen,"Ima say this. White People literally hate every other race. If you look at history, them mfs have attacked EVERYONE. they preach “POC” solidarity but everyone is against black people. White folks was finna toss all asians overseas because of COVID 💀💀💀💀💀💀💀💀💀",,33,631,6846,0,NO
1507140985335083013,2022-03-24,18:43:06,godsgirl77777,Gods girl,Raise your hand if you will NEVER take the vaccine!🙋‍♀️  I want to follow you!,,1048,482,6401,-1,NO
1507113208200450060,2022-03-24,16:52:44,mylove_des,vaccine vixen,white people had them in concentration camps but we tell them stop saying nigga and awkwafina has a blaccent and suddenly we’ve wronged them racially LMFAAAOOOO,,321,12447,58460,0,NO
1507082726813290504,2022-03-24,14:51:36,legionhoops,Legion Hoops,"As it stands now, the 8-seed Nets would play the 7-seed Raptors in Toronto in the first play-in game.  Kyrie wouldn’t be allowed to play due to Canada’s vaccine laws. 👀  https://t.co/yH4Ea12pxO",,180,481,7937,0,NO
1507058485074309129,2022-03-24,13:15:17,nypost,New York Post,Fired NYC workers want to sue Adams over athlete vaccine exemption: lawyers  https://t.co/jxo2whrnuU  https://t.co/eNtu4YSHv8,,971,2949,19051,0,NO
1507046033691394053,2022-03-24,12:25:48,m_t_l514,3 ~ VaccineInjuries.ca,"Adam Konrad, 41, received the first dose of the Pfizer vaccine on April 23, 2021.  At 3 weeks he had a first heart attack and in five months he has had 5 heart attacks.  https://t.co/c1MjozTLHX",,420,6923,11537,-1,NO
1507024179694026755,2022-03-24,10:58:58,bleacherreport,Bleacher Report,Kyrie Irving is officially cleared to play in home games after NYC Mayor Eric Adams announced an exemption to the city’s vaccine mandate for pro athletes and performers  https://t.co/EDV2HsLeUw,,716,4374,38491,0,NO
1507023862097080320,2022-03-24,10:57:42,stephenking,Stephen King,NY Mayor lifts vaccine mandates for famous people.,,525,831,7336,0,NO
1506970392820391936,2022-03-24,7:25:14,logically_jc,John Collins,"Republicans: If the vaccine works, why do we need boosters?  For the same reason the Tylenol I took yesterday isn’t preventing the headache caused by you today.",,682,5895,35819,-1,NO
1506957031919525891,2022-03-24,6:32:08,lx_x_leanne_x_x,Leanne,"So it official, I held my ground and didn't get the vaccine and now the care home I work for has notified me that all meetings will end and my job is secure. They finally received the govt guidance and I won 💪🏼😂",,3390,5016,51697,-1,NO
1506948638714564609,2022-03-24,5:58:47,ginasaysso,Gina,"My friend lost her healthy, athletic, 42 year old husband to a 'heart episode' in his sleep exactly 2 weeks after his Pfizer booster. She wasn't allowed to publish an obituary attributing death to the vaccine. She was told, 'Vaccine attribution is off limits given the pandemic.'",,1024,10270,22668,-1,NO
1506939691773227009,2022-03-24,5:23:14,sean_shinil_kim,Sean Kim,The real science is clear. You should never rush a vaccine trial and approval process. You should never claim it is safe and effective until you have a long term data to prove it. You should never mandate or inject people by coercion. It is criminal.,,500,8306,26236,-1,NO
1506886726467596290,2022-03-24,1:52:46,saravic333,Sara Victoria 🇦🇺🇦🇺🇦🇺🥂,Thanking a 'vaccine' when you get 'covid' is like thanking a condom when you get pregnant.,,1077,8006,34716,-1,NO
1506832813923917827,2022-03-23,22:18:33,sciencewdrdoug,Dr. Doug Corrigan,I’ve never seen so many people thank a vaccine for failing at being a vaccine. Maybe they feel compelled to thank it because the vaccine identifies as a vaccine.,,211,1398,8374,-1,NO
1506779105789984771,2022-03-23,18:45:08,catturd2,Catturd ™,"Are we supposed to be worshipping Fauci, Zelensky or vaccines this week?",,1050,2596,15745,-1,NO
1506778096120352770,2022-03-23,18:41:07,breaking911,Breaking911,"NYC to lift vaccine mandate for athletes, allowing Nets' Kyrie Irving and unvaccinated Yankees and Mets to play home games - WNBC",,602,1120,7617,0,NO
1506762666240614402,2022-03-23,17:39:48,drguru_,Guru,NYC changed the vaccine mandate on Kyrie Irving’s birthday.   You can’t make this up 😭,,55,701,7098,0,NO
1506760768787652609,2022-03-23,17:32:16,shamscharania,Shams Charania,Sources: Brooklyn Nets star Kyrie Irving will be cleared for home games as New York City will on Thursday change private sector vaccine mandate to allow exemption for athletes and entertainers in workplace. Unvaccinated Yankees and Mets players also now eligible for home games.,,2007,8493,41049,0,NO
1506759544625532930,2022-03-23,17:27:24,bleacherreport,Bleacher Report,"There’s ‘cautious optimism’ that NYC’s vaccine mandate will be amended so that the city’s unvaccinated athletes can play in home games, per @wojespn, @JeffPassan  https://t.co/ICZPKpTs1i",,160,458,6025,0,NO
1506757280577961985,2022-03-23,17:18:24,legionhoops,Legion Hoops,"BREAKING: The New York Mayor is expected to lift the vaccine mandate for performers and athletes, via @politicony.  Full-time Kyrie coming soon. 👀  https://t.co/aDQkHXGDEj",,182,1327,9138,0,NO
1506750475177275392,2022-03-23,16:51:22,wojespn,Adrian Wojnarowski,Story filed to ESPN w/ @JeffPassan: Progress toward further changes to NYC’s private-sector vaccine mandate has inspired confidence that Brooklyn’s Kyrie Irving could be back on court for home games in near future. Yankees and Mets players would be cleared before Opening Day too.,,354,1245,6425,0,NO
1506716987845664768,2022-03-23,14:38:18,miles_commodore,Miles Commodore,"We got a vaccine for COVID in eight months, but no cure for cancer with billions of dollars over 50 years?  🤔",,1042,1639,9355,0,NO
1506710559143731203,2022-03-23,14:12:45,waytoo6ixy,AB,@TheNBACentral When you’re playing pick up basketball and your team mate randomly dies on defence from their vaccine  https://t.co/sj5tZcAPwm,,20,504,7448,-1,NO
1506591649132130304,2022-03-23,6:20:14,maskedannie5,Masked Annie,Why are all the elites tweeting that they “tested positive” and thanking their vaccines?,,1286,1409,9038,-1,NO
1506577634871988226,2022-03-23,5:24:33,prisonplanet,Paul Joseph Watson,Jen Psaki.  Triple jabbed.  COVID positive. For the second time.  Psaki thanks the vaccine.,,685,2071,15931,-1,NO
1506445032236142592,2022-03-22,20:37:38,ladyspaulding11,Lady Spaulding,"Getting covid and then praising the vaccine for how well it works because it ""would have been worse"" is like going to weight watchers and gaining 50 pounds but thanking ww because you didn't gain 100.",,237,3580,12825,-1,NO
1506409159989739521,2022-03-22,18:15:06,nbsaphiermd,"Nicole Saphier, MD","It intrigues me how everyone who tests positive for SARS-CoV-2 credits the vaccine for their mild symptoms. It’s as though they have never heard of a blinded, randomized controlled trial.",,555,1846,12606,-1,NO
1506397903765581836,2022-03-22,17:30:22,hillaryclinton,Hillary Clinton,"Well, I've tested positive for COVID. I've got some mild cold symptoms but am feeling fine. I'm more grateful than ever for the protection vaccines can provide against serious illness. Please get vaccinated and boosted if you haven't already!",,20918,11543,151157,1,Yes
1506356337646747652,2022-03-22,14:45:12,awgaffney,Adam W Gaffney,Federal coverage for COVID-19 treatment and testing for the uninsured ends today.    Coverage for vaccine administration for the uninsured ends in about two weeks.    The rationing of COVID-care by ability to pay begins.,,229,4831,8202,0,NO
1506332513320374275,2022-03-22,13:10:32,kevinkileyca,Kevin Kiley,A federal court has found a D.C. law removing parental consent for the COVID vaccine to be unconstitutional. California's similar bill should be withdrawn immediately.,,75,1713,6664,0,NO
1506324580960452608,2022-03-22,12:39:00,presssec,Jen Psaki,"Thanks to the vaccine, I have only experienced mild symptoms. In alignment with White House COVID-19 protocols, I will work from home and plan to return to work in person at the conclusion of a five-day isolation period and a negative test.",,3780,1448,26676,1,Yes
1506290259826520067,2022-03-22,10:22:38,7veritas4,Smite⚡️,Truckers protesting masks and vaccines are catching Covid.   The idiot masterpiece is complete.,,369,1511,13295,1,Yes
1505780055489716226,2022-03-21,0:35:15,kimiversenshow,Kim Iversen,"People really need to stop calling others ""anti-vaxx"" or ""vaccine skeptics"". The data is in...the people who were wildly wrong were the people swearing up and down that if you got the vax you wouldn't get or spread covid.",,589,4750,21342,-1,NO
1505751687302156290,2022-03-20,22:42:32,katewillett,Kate Willett,The CIA conducted a sham vaccination program in Pakistan to try to find Bin Laden to collect DNA from people in the neighborhood where he was hiding and now it’s resulted in a bunch of Polio cases and the murder of legit vaccine workers,,188,12255,55276,-1,NO
1505706338285989895,2022-03-20,19:42:20,jeremyfaust,Jeremy Faust MD MS (ER physician),I’m not saying we all need 4th doses.   But let’s keep in mind that many of us have had 20 or more doses of the seasonal flu vaccine.   So let’s just keep our chill intact.,,3448,705,7866,0,NO
1505699098954973188,2022-03-20,19:13:34,chuckcallesto,Chuck Callesto,BREAKING REPORT: US Army Officially Begins Dishonorably DISCHARGING SOLDIERS Who Haven’t Taken The Vaccine...,,2725,6967,11321,1,Yes
1505550334248333316,2022-03-20,9:22:26,jessekellydc,Jesse Kelly,"“Whoops, we counted too many deaths as COVID deaths.”  “Whoops, the vaccine doesn’t stop the spread.”  “Whoops, it also wears off in about 15 minutes.”  “Whoops, other treatments might actually work.”  None of this was an accident. Don’t buy any of this “whoops” crap.",,943,21884,76846,-1,NO
1505535350210498560,2022-03-20,8:22:53,sid_seixeiro,Sid Seixeiro,"Canada has one of the highest vaccination rates in the world. Vaccine Hunters, who are shutting down operations, played a big role in that. When the story of these last two years gets written I hope they’re given the respect they deserve.",,284,1231,17140,1,Yes
1505333601633669121,2022-03-19,19:01:13,oneunderscore__,Ben Collins,Many took ivermectin instead of a vaccine — some left or refused to go to a hospital to take this and die at home.  People lied about this for a full year. And for what? Social media followers? Substack donations? They will never face a single consequence.  https://t.co/4gbhi5GoA3,,543,5468,18412,0,NO
1505305694467100676,2022-03-19,17:10:19,ericg1247,Eric Garcia for Congress,"If the government couldn't force people to get a vaccine, it can't force people to give birth.",,958,7346,39824,0,NO
1505251866350862338,2022-03-19,13:36:25,nathaliejacoby1,Nathalie Jacoby,"My husband wants us to go out to dinner with his friend and his wife, who are both anti-vaxxers.   I told him I am not comfortable doing that because they did not get the Covid vaccine.   Do YOU feel comfortable being around people you know who have NOT been vaccinated?",,23794,1297,20403,1,Yes
1505213038584082435,2022-03-19,11:02:08,joyannreid,Joy-Ann (Pro-Democracy) Reid 😷,"If you genuinely think the most important stories out there right now are Hunter Biden’s laptop and whatever the hell is on it and a handful of truckers wasting $5-a-gallon gas driving in circles because something something mask mandates and vaccines, I seriously suggest therapy.",,1380,3562,27969,0,NO
1505065685969686528,2022-03-19,1:16:36,cucumberchanel,🔻 #FreeHimamaylan3,"I asked one of my lola’s maids why she still wasn’t vaccinated. This was her reply (translated from Bisaya):  “We all work on daily wages. If we experience side effects or get sick because of the vaccine, we lose potential paydays.”",,10,1001,9622,-1,NO
1504927048158040071,2022-03-18,16:05:43,sensanders,Bernie Sanders,Corporate greed is Moderna giving its CEO a $923 million golden parachute &amp; handing out $360 million in stock options to 2 top executives after receiving $2.5 billion from U.S. taxpayers to develop its COVID vaccine &amp; refusing to share it with the world. We must end this greed.,,1666,9337,42323,0,NO
1504926576764506119,2022-03-18,16:03:50,ddale8,Daniel Dale,"Marjorie Taylor Greene: ""I have never seen the CDC coming out saying, ‘Oh you've gotta get your second polio shot, you gotta get your third, you gotta get your fourth.’""  CDC website: “CDC recommends that children get four doses of polio vaccine.""  https://t.co/AU8on8bwJc",,591,2524,13567,0,NO
1504859847854067734,2022-03-18,11:38:41,mrjamesob,James Oh Brien,"Rees-Mogg misled the Queen about the unlawful proroguing of Parliament, dismissed Brexit's betrayal of the fishing industry by wittering about 'British' fish being 'happier', led the abortive Owen Paterson rescue attempt &amp; continues to lie about vaccines. He's fluff personified.",,588,4398,22627,0,NO
1504846213111234613,2022-03-18,10:44:30,marcus4georgia,Marcus Flowers,"Let me be clear: Vaccines work, and Marjorie Taylor Greene does not.",,1770,5639,50896,1,Yes
1504804998953246753,2022-03-18,8:00:44,blueboxdave,David Marcus,It’s not Hunter’s laptop Lia Thomas is a woman Border agents whipped migrants Gas prices are Putin’s fault Inflation is temporary Vaccines prevent infection,,930,2829,16049,0,NO
1504704999959396352,2022-03-18,1:23:22,drjackskywatch1,MrSkyWatcher,"Over 1,135,000 COVID vaccine injuries reported to VAERS including: 24,400 deaths 27,800 life-threatening events 34,500 myocarditis/pericarditis 40,000 severe allergic reactions 44,500 permanently disabled 120,00 urgent care visits 133,000 hospitalizations 176,000 Dr office visits",,438,6493,9880,-1,NO
1504634324565602320,2022-03-17,20:42:32,jdcocchiarella,Jack Cocchiarella,Who else will 100% be getting a 4th COIVD vaccine when it’s available?,,5089,3698,83693,0,NO
1504633741364371460,2022-03-17,20:40:13,kylegriffin1,Kyle Griffin,"WASHINGTON (AP) — Moderna seeks FDA authorization for 4th dose of COVID-19 vaccine for all adults, broader than Pfizer request.",,201,1640,9638,0,NO
1504624449517150216,2022-03-17,20:03:17,tristansnell,Tristan Snell,"Marjorie Taylor Greene just said, on the House floor, that the CDC doesn’t advise multiple vaccine doses for polio.   In fact, the CDC recommends 4 doses of the polio vaccine for young children.",,513,2237,12783,0,NO
1504593186802606081,2022-03-17,17:59:04,noliewithbtc,No Lie with Brian Tyler Cohen,"JUST IN: Marjorie Taylor Greene just went on the House floor to attack COVID vaccines by claiming she has “never seen the CDC” recommend a 2nd and 3rd shot for polio. Actually, the CDC recommends FOUR doses of the polio vaccine — at 2 months, 4 months, 6-18 months, and 4-6 years.",,5993,24498,151976,1,Yes
1504248589567942659,2022-03-16,19:09:45,captaincadets,🇨🇦Captain🇨🇦,BREAKING!!! Everything but the vaccine has been linked to heart attack and stroke!,,193,2658,10532,0,NO
1504220528265027592,2022-03-16,17:18:15,armanddoma,Armand Domalewski,"Putin's array of yes men convincing him his military was far more capable than it actually was and Xi's propaganda campaign against Western mRNA vaccines forcing him to rely on COVID Zero are powerful reminders that, as messy as it can be, an open democratic discourse is superior",,265,3398,22637,0,NO
1504200930530578438,2022-03-16,16:00:23,chuckcallesto,Chuck Callesto,"BREAKING REPORT: Trucker Convoy HITS DC HIGHWAYS, won't leave until DEMAND TO END FEDERAL VACCINE mandates are met..",,175,2858,10614,0,NO
1504190096748199940,2022-03-16,15:17:20,rowanneeeles,Ro,"For anyone who thinks they are ‘immune’ to covid, I’ve had it 3 times, have both natural+vaccine antibodies on my SIREN study blood tests+am triple vaxxed. Only 6 weeks between 2nd+3rd infections 😵‍💫🦠 😷@trishgreenhalgh @devisridhar @DrEricDing @chrischirp @timspector #covid",,521,3188,10081,0,NO
1504172383908868101,2022-03-16,14:06:57,michaelpbreton,michael breton,"Oh, my. 1 hour ago.  Ukraine just silently announced it’s the first country to implement the WEF's ‘Great Reset’ by setting up a Social Credit Application combining Universal Basic Income (UBI), a Digital Identity &amp; a Vaccine Passport all within their Diia app.",,2397,13614,24537,0,NO
1503949505699336197,2022-03-15,23:21:18,narendramodi,Narendra Modi,"Today is an important day in India’s efforts to vaccinate our citizens. Now onwards, youngsters in the 12-14 age group are eligible for vaccines and all those above 60 are eligible for precaution doses. I urge people in these age groups to get vaccinated.",,1052,9193,49228,1,Yes
